process,process description,parameter,value,unit,description,
 , ,MrtExDIN_N,0.00000,NOUNIT,coefficient increased mortality rate algae type 08
 , ,MrtExDIN_P,0.00000,NOUNIT,coefficient increased mortality rate algae type 09
 , ,MrtExPHA_E,0.00000,NOUNIT,coefficient increased mortality rate algae type 10
 , ,MrtExPHA_N,0.00000,NOUNIT,coefficient increased mortality rate algae type 11
 , ,MrtExPHA_P,0.00000,NOUNIT,coefficient increased mortality rate algae type 12
 , ,MrtExULS_E,0.00000,NOUNIT,coefficient increased mortality rate algae type 13
 , ,MrtExULS_N,0.00000,NOUNIT,coefficient increased mortality rate algae type 14
 , ,MrtExULS_P,0.00000,NOUNIT,coefficient increased mortality rate algae type 15
 , ,MrtExULF_E,0.00000,NOUNIT,coefficient increased mortality rate algae
 , ,MrtExULF_N,0.00000,NOUNIT,coefficient increased mortality rate algae
 , ,MrtExULF_P,0.00000,NOUNIT,coefficient increased mortality rate algae
 , ,MrtExAlg19,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg20,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg21,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg22,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg23,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg24,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg25,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg26,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg27,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg28,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg29,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,MrtExAlg30,0.00000,(1/d/oC),coefficient increased mortality rate algae
 , ,Mort2MDI_E,0.00000,NOUNIT,salinity dependent mortality rate algae type 01
 , ,Mort2MDI_N,0.00000,NOUNIT,salinity dependent mortality rate algae type 02
 , ,Mort2MDI_P,0.00000,NOUNIT,salinity dependent mortality rate algae type 03
 , ,Mort2MFL_E,0.00000,NOUNIT,salinity dependent mortality rate algae type 04
 , ,Mort2MFL_N,0.00000,NOUNIT,salinity dependent mortality rate algae type 05
 , ,Mort2MFL_P,0.00000,NOUNIT,salinity dependent mortality rate algae type 06
 , ,Mort2DIN_E,0.00000,NOUNIT,salinity dependent mortality rate algae type 07
 , ,Mort2DIN_N,0.00000,NOUNIT,salinity dependent mortality rate algae type 08
 , ,Mort2DIN_P,0.00000,NOUNIT,salinity dependent mortality rate algae type 09
 , ,Mort2PHA_E,0.00000,NOUNIT,salinity dependent mortality rate algae type 10
 , ,Mort2PHA_N,0.00000,NOUNIT,salinity dependent mortality rate algae type 11
 , ,Mort2PHA_P,0.00000,NOUNIT,salinity dependent mortality rate algae type 12
 , ,Mort2ULS_E,0.00000,NOUNIT,salinity dependent mortality rate algae type 13
 , ,Mort2ULS_N,0.00000,NOUNIT,salinity dependent mortality rate algae type 14
 , ,Mort2ULS_P,0.00000,NOUNIT,salinity dependent mortality rate algae type 15
 , ,Mort2ULF_E,0.00000,NOUNIT,salinity dependent mortality rate algae type
 , ,Mort2ULF_N,0.00000,NOUNIT,salinity dependent mortality rate algae type
 , ,Mort2ULF_P,0.00000,NOUNIT,salinity dependent mortality rate algae type
 , ,Mort2Alg19,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg20,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg21,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg22,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg23,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg24,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg25,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg26,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg27,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg28,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg29,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,Mort2Alg30,0.00000,(1/d),salinity dependent mortality rate algae type
 , ,MrtB1MDI_E,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 01
 , ,MrtB1MDI_N,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 02
 , ,MrtB1MDI_P,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 03
 , ,MrtB1MFL_E,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 04
 , ,MrtB1MFL_N,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 05
 , ,MrtB1MFL_P,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 06
 , ,MrtB1DIN_E,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 07
 , ,MrtB1DIN_N,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 08
 , ,MrtB1DIN_P,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 09
 , ,MrtB1PHA_E,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 10
 , ,MrtB1PHA_N,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 11
 , ,MrtB1PHA_P,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 12
 , ,MrtB1ULS_E,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 13
 , ,MrtB1ULS_N,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 14
 , ,MrtB1ULS_P,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. algae 15
 , ,MrtB1ULF_E,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. a
 , ,MrtB1ULF_N,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. a
 , ,MrtB1ULF_P,0.200000E-02,NOUNIT,coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg19,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg20,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg21,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg22,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg23,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg24,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg25,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg26,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg27,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg28,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg29,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB1Alg30,0.200000E-02,(gCl/m3),coefficient b1 in salinity stress funct. a
 , ,MrtB2MDI_E,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 01
 , ,MrtB2MDI_N,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 02
 , ,MrtB2MDI_P,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 03
 , ,MrtB2MFL_E,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 04
 , ,MrtB2MFL_N,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 05
 , ,MrtB2MFL_P,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 06
 , ,MrtB2DIN_E,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 07
 , ,MrtB2DIN_N,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 08
 , ,MrtB2DIN_P,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 09
 , ,MrtB2PHA_E,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 10
 , ,MrtB2PHA_N,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 11
 , ,MrtB2PHA_P,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 12
 , ,MrtB2ULS_E,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 13
 , ,MrtB2ULS_N,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 14
 , ,MrtB2ULS_P,8000.00,NOUNIT,coefficient b2 in salinity stress funct. algae 15
 , ,MrtB2ULF_E,8000.00,NOUNIT,coefficient b2 in salinity stress funct. a
 , ,MrtB2ULF_N,8000.00,NOUNIT,coefficient b2 in salinity stress funct. a
 , ,MrtB2ULF_P,8000.00,NOUNIT,coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg19,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg20,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg21,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg22,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg23,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg24,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg25,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg26,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg27,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg28,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg29,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,MrtB2Alg30,8000.00,(gCl/m3),coefficient b2 in salinity stress funct. a
 , ,FixMDI_E,0.00000,NOUNIT,algae type 01 fixed (0=not app>0=sus<0=fixed)
 , ,FixMDI_N,0.00000,NOUNIT,algae type 02 fixed (0=not app>0=sus<0=fixed)
 , ,FixMDI_P,0.00000,NOUNIT,algae type 03 fixed (0=not app>0=sus<0=fixed)
 , ,FixMFL_E,0.00000,NOUNIT,algae type 04 fixed (0=not app>0=sus<0=fixed)
 , ,FixMFL_N,0.00000,NOUNIT,algae type 05 fixed (0=not app>0=sus<0=fixed)
 , ,FixMFL_P,0.00000,NOUNIT,algae type 06 fixed (0=not app>0=sus<0=fixed)
 , ,FixDIN_E,0.00000,NOUNIT,algae type 07 fixed (0=not app>0=sus<0=fixed)
 , ,FixDIN_N,0.00000,NOUNIT,algae type 08 fixed (0=not app>0=sus<0=fixed)
 , ,FixDIN_P,0.00000,NOUNIT,algae type 09 fixed (0=not app>0=sus<0=fixed)
 , ,FixPHA_E,0.00000,NOUNIT,algae type 10 fixed (0=not app>0=sus<0=fixed)
 , ,FixPHA_N,0.00000,NOUNIT,algae type 11 fixed (0=not app>0=sus<0=fixed)
 , ,FixPHA_P,0.00000,NOUNIT,algae type 12 fixed (0=not app>0=sus<0=fixed)
 , ,FixULS_E,1.00000,NOUNIT,algae type 13 fixed (0=not app>0=sus<0=fixed)
 , ,FixULS_N,2.00000,NOUNIT,algae type 14 fixed (0=not app>0=sus<0=fixed)
 , ,FixULS_P,3.00000,NOUNIT,algae type 15 fixed (0=not app>0=sus<0=fixed)
 , ,FixULF_E,-1.00000,NOUNIT,algae type 16 fixed (0=not app>0=sus<0=fixed)
 , ,FixULF_N,-2.00000,NOUNIT,algae type 17 fixed (0=not app>0=sus<0=fixed)
 , ,FixULF_P,-3.00000,NOUNIT,algae type 18 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg19,0.00000,(-),algae type 19 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg20,0.00000,(-),algae type 20 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg21,0.00000,(-),algae type 21 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg22,0.00000,(-),algae type 22 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg23,0.00000,(-),algae type 23 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg24,0.00000,(-),algae type 24 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg25,0.00000,(-),algae type 25 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg26,0.00000,(-),algae type 26 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg27,0.00000,(-),algae type 27 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg28,0.00000,(-),algae type 28 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg29,0.00000,(-),algae type 29 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg30,0.00000,(-),algae type 30 fixed (0=not app>0=sus<0=fixed)
 , ,EffiALG01,-1.00000,(-),average light efficiency algae 01 (BLOOM step)
 , ,EffiALG02,-1.00000,(-),average light efficiency algae 02 (BLOOM step)
 , ,EffiALG03,-1.00000,(-),average light efficiency algae 03 (BLOOM step)
 , ,EffiALG04,-1.00000,(-),average light efficiency algae 04 (BLOOM step)
 , ,EffiALG05,-1.00000,(-),average light efficiency algae 05 (BLOOM step)
 , ,EffiALG06,-1.00000,(-),average light efficiency algae 06 (BLOOM step)
 , ,EffiALG07,-1.00000,(-),average light efficiency algae 07 (BLOOM step)
 , ,EffiALG08,-1.00000,(-),average light efficiency algae 08 (BLOOM step)
 , ,EffiALG09,-1.00000,(-),average light efficiency algae 09 (BLOOM step)
 , ,EffiALG10,-1.00000,(-),average light efficiency algae 10 (BLOOM step)
 , ,EffiALG11,-1.00000,(-),average light efficiency algae 11 (BLOOM step)
 , ,EffiALG12,-1.00000,(-),average light efficiency algae 12 (BLOOM step)
 , ,EffiALG13,-1.00000,(-),average light efficiency algae 13 (BLOOM step)
 , ,EffiALG14,-1.00000,(-),average light efficiency algae 14 (BLOOM step)
 , ,EffiALG15,-1.00000,(-),average light efficiency algae 15 (BLOOM step)
 , ,EffiALG16,-1.00000,(-),average light efficiency algae 16 (BLOOM step)
 , ,EffiALG17,-1.00000,(-),average light efficiency algae 17 (BLOOM step)
 , ,EffiALG18,-1.00000,(-),average light efficiency algae 18 (BLOOM step)
 , ,EffiALG19,-1.00000,(-),average light efficiency algae 19 (BLOOM step)
 , ,EffiALG20,-1.00000,(-),average light efficiency algae 20 (BLOOM step)
 , ,EffiALG21,-1.00000,(-),average light efficiency algae 21 (BLOOM step)
 , ,EffiALG22,-1.00000,(-),average light efficiency algae 22 (BLOOM step)
 , ,EffiALG23,-1.00000,(-),average light efficiency algae 23 (BLOOM step)
 , ,EffiALG24,-1.00000,(-),average light efficiency algae 24 (BLOOM step)
 , ,EffiALG25,-1.00000,(-),average light efficiency algae 25 (BLOOM step)
 , ,EffiALG26,-1.00000,(-),average light efficiency algae 26 (BLOOM step)
 , ,EffiALG27,-1.00000,(-),average light efficiency algae 27 (BLOOM step)
 , ,EffiALG28,-1.00000,(-),average light efficiency algae 28 (BLOOM step)
 , ,EffiALG29,-1.00000,(-),average light efficiency algae 29 (BLOOM step)
 , ,EffiALG30,-1.00000,(-),average light efficiency algae 30 (BLOOM step)
vtrans,Vertical mixing distribution over a period,IDT,Using DELWAQ timestep,(scu),DELWAQ timestep
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,PeriodVTRA,24.0000,(h),period for calculating vertical distribution
 , ,Volume,Using DELWAQ volume,(m3),volume of computational cell
 , ,ITIME,Using DELWAQ time,(scu),DELWAQ time
 , ,VertDisp,Using output from proces [VertDisp            ],,vertical dispersion
 , ,XArea,Using DELWAQ exchange area,(m2),exchange area
 , ,XLenFrom,Using DELWAQ from- length,(m),from-length
 , ,XLenTo,Using DELWAQ to- length,(m),to-length
 , ,Disp3,0.00000,(m2/s),uniform dispersion in third direction
DepAve,Average depth for Bloom step,SWDepAve,1.00000,(-),switch for module DepAve (0=off 1=on)
 , ,TimMultBl,Using function nr  3,(-),ratio bloom/delwaq time step
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,BloomDepth,Using output from proces [DepAve              ],(m),average depth over Bloom time step
Daylength,Daylength calculation,ITIME,Using DELWAQ time,(scu),DELWAQ time
 , ,Latitude,52.1000,(degrees),latitude of study area
 , ,RefDay,0.00000,(d),daynumber of reference day simulation
 , ,AuxSys,86400.0,(scu/d),ratio between days and system clock
CalcRad,Radiation at segment upper and lower boundaries,ExtVl,Using output from proces [Extinc_VLG          ],(1/m),total extinction coefficient visible light
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,RadSurf,Using function nr  1,(W/m2),irradiation at the water surface
 , ,a_enh,1.50000,(-),enhancement factor in radiation calculation
 , ,Surf,Using parameter nr 44,(m2),horizontal surface area of a DELWAQ segment
 , ,SwEmersion,0.00000,(-),switch indicating submersion(0) or emersion(1)
 , ,RadBot,Using output from proces [CalcRad             ],(W/m2),irradiation at the segment lower-boundary
 , ,fRefl,Using output from proces [Reflection          ],(-),fraction of radiation reflected at water surface
Reflection,Reflection calculation,ITIME,Using DELWAQ time,(scu),DELWAQ time
 , ,Latitude,52.1000,(degrees),latitude of study area
 , ,RefDay,0.00000,(d),daynumber of reference day simulation
 , ,AuxSys,86400.0,(scu/d),ratio between days and system clock
Extinc_VLG,Extinction of visible-light (370-680nm) DLWQ-G,ExtVlIM1,0.250000E-01,(m2/gDM),VL specific extinction coefficient IM1
 , ,ExtVlIM2,0.250000E-01,(m2/gDM),VL specific extinction coefficient IM2
 , ,ExtVlIM3,0.100000E-01,(m2/gDM),VL specific extinction coefficient IM3
 , ,ExtVlPOC1,0.100000,(m2/gC),VL specific extinction coefficient POC1
 , ,ExtVlBak,0.800000E-01,(1/m),background extinction visible light
 , ,ExtVlPhyt,Using output from proces [EXTINABVL           ],(1/m),VL extinction by phytoplankton
 , ,ExtVlMacro,0.00000,(1/m),VL extinction by macrophytes
 , ,IM1,Using segment function nr  3,(gDM/m3),inorganic matter (IM1)
 , ,IM2,0.00000,(gDM/m3),inorganic matter (IM2)
 , ,IM3,0.00000,(gDM/m3),inorganic matter (IM3)
 , ,POC1,Using substance nr   5,(gC/m3),POC1 (fast decomposing fraction)
 , ,POC2,0.00000,(gC/m3),POC2 (medium decomposing fraction)
 , ,SW_Uitz,0.00000,(-),Extinction by Uitzicht On (1) or Off (0)
 , ,DOC,0.00000,(gC/m3),Dissolved Organic Carbon (DOC)
 , ,ExtVlDOC,0.00000,(m2/gC),VL specific extinction coefficient DOC
 , ,UitZDEPT1,1.20000,(m),Z1 (depth)
 , ,UitZDEPT2,1.00000,(m),Z2 (depth)
 , ,UitZCORCH,2.50000,(-),CORa correction factor
 , ,UitZC_DET,0.260000E-01,(-),C3 coeff. absorption ash weight & detritus
 , ,UitZC_GL1,0.730000,(-),C1 coeff. absorption ash weight & detritus
 , ,UitZC_GL2,1.00000,(-),C2 coeff. absorption ash weight & detritus
 , ,UitZHELHM,0.140000E-01,(nm-1),Hel_h constant
 , ,UitZTAU,7.80000,(-),Tau constant calculation transparency
 , ,UitZangle,30.0000,(degrees),Angle of incidence solar radiation
 , ,DMCFDetC,2.50000,(gDM/gC),DM:C ratio DetC
 , ,ExtVLSal0,0.970000,(1/m),extra VL extinction at Salinity = 0
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SalExt0,34.9200,(g/kg),salinity value for extra extinction = 0
 , ,ExtVlPOC2,0.600000E-01,(m2/gC),VL specific extinction coefficient POC2
 , ,ExtVlPOC3,0.100000,(m2/gC),VL specific extinction coefficient POC3
 , ,ExtVlPOC4,0.100000,(m2/gC),VL specific extinction coefficient POC4
 , ,POC3,0.00000,(gC/m3),POC3 (slow decomposing fraction)
 , ,POC4,0.00000,(gC/m3),POC4 (particulate refractory fraction)
EXTINABVL,Extinction of light by algae (Bloom),NAlgBloom,30.0000,(-),number of algae types in BLOOM
 , ,SW_fixin_y,1.00000,(-),switch possible scaling of input DO NOT EDIT
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,EXTVLMDI_E,0.240000,NOUNIT,VL specific extinction coefficient algae type 01
 , ,EXTVLMDI_N,0.210000,NOUNIT,VL specific extinction coefficient algae type 02
 , ,EXTVLMDI_P,0.210000,NOUNIT,VL specific extinction coefficient algae type 03
 , ,EXTVLMFL_E,0.250000,NOUNIT,VL specific extinction coefficient algae type 04
 , ,EXTVLMFL_N,0.225000,NOUNIT,VL specific extinction coefficient algae type 05
 , ,EXTVLMFL_P,0.225000,NOUNIT,VL specific extinction coefficient algae type 06
 , ,EXTVLDIN_E,0.200000,NOUNIT,VL specific extinction coefficient algae type 07
 , ,EXTVLDIN_N,0.175000,NOUNIT,VL specific extinction coefficient algae type 08
 , ,EXTVLDIN_P,0.175000,NOUNIT,VL specific extinction coefficient algae type 09
 , ,EXTVLPHA_E,0.450000,NOUNIT,VL specific extinction coefficient algae type 10
 , ,EXTVLPHA_N,0.412500,NOUNIT,VL specific extinction coefficient algae type 11
 , ,EXTVLPHA_P,0.412500,NOUNIT,VL specific extinction coefficient algae type 12
 , ,EXTVLULS_E,0.240000,NOUNIT,VL specific extinction coefficient algae type 13
 , ,EXTVLULS_N,0.210000,NOUNIT,VL specific extinction coefficient algae type 14
 , ,EXTVLULS_P,0.210000,NOUNIT,VL specific extinction coefficient algae type 15
 , ,EXTVLULF_E,0.00000,NOUNIT,VL specific extinction coefficient algae ty
 , ,EXTVLULF_N,0.00000,NOUNIT,VL specific extinction coefficient algae ty
 , ,EXTVLULF_P,0.00000,NOUNIT,VL specific extinction coefficient algae ty
 , ,ExtVlAlg19,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg20,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg21,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg22,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg23,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg24,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg25,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg26,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg27,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg28,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg29,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,ExtVlAlg30,0.200000,(m2/gC),VL specific extinction coefficient algae ty
 , ,MDIATOMS_E,Using substance nr  16,NOUNIT,concentration of algae type 1
 , ,MDIATOMS_N,Using substance nr  17,NOUNIT,concentration of algae type 2
 , ,MDIATOMS_P,Using substance nr  18,NOUNIT,concentration of algae type 3
 , ,MFLAGELA_E,Using substance nr  19,NOUNIT,concentration of algae type 4
 , ,MFLAGELA_N,Using substance nr  20,NOUNIT,concentration of algae type 5
 , ,MFLAGELA_P,Using substance nr  21,NOUNIT,concentration of algae type 6
 , ,DINOFLAG_E,Using substance nr  13,NOUNIT,concentration of algae type 7
 , ,DINOFLAG_N,Using substance nr  14,NOUNIT,concentration of algae type 8
 , ,DINOFLAG_P,Using substance nr  15,NOUNIT,concentration of algae type 9
 , ,PHAEOCYS_E,Using substance nr  22,NOUNIT,concentration of algae type 10
 , ,PHAEOCYS_N,Using substance nr  23,NOUNIT,concentration of algae type 11
